,Question,Answer
37,i really hope it rains today.,"yeah, me too."
38,it really is.,it seems that it may rain today.
39,hopefully it will.,how come?
40,i like how clear the sky gets after it rains.,i feel the same way. it smells so good after it rains.
41,i especially love the night air when it rains.,really? why?
42,the stars look so much closer after it rains.,i really want it to rain today.
43,"yeah, so do i.","yes, i think so too."
44,i think that it's going to rain.,i hope that it does rain.
45,you like the rain?,the sky looks so clean after it rains. i love it.
46,i understand. rain does make it smell cleaner.,i love most how it is at night after it rains.
47,how come?,you can see the stars so much more clearly after it rains.
48,i would love for it to rain today.,that sounds like fun. what's the weather going to be like?
49,i heard that it's going to be warm this weekend.,is it going to be perfect beach weather?
50,i believe so.,good. i hope it doesn't cool off this weekend.
51,i know. i really want to go to the beach.,but you know that california weather is really unpredictable.
52,"you're right. one minute it's hot, and then the next minute it's cold.",i really wish the weather would just stay the same.
53,i do too. that way we can have our activities planned ahead of time.,"yeah, that would make things a lot easier."
54,a trip to the beach would be fun. how is the weather going to be?,the forecast says that it will be warm on the weekend.
55,so do you think it'll be perfect weather for the beach?,it sounds like it will be.
56,i really hope it doesn't get cold.,"that would ruin things, i want to go so badly."
57,"the weather in california is unpredictable, so you never know.",that is true. the weather is constantly changing.
58,it would be nice if the weather would never change.,"that would be great, then we could plan things sooner."
59,true. predictable weather would make life easier.,what's the weather going to be like? i may want to go too.
60,the weather this weekend is supposed to be warm.,will it be good beach weather?
61,i think it will be.,it wouldn't be good if it got cold this weekend.
62,"i want this trip to be perfect, i hope it stays warm.","this california weather is so uncertain, it's impossible to know what'll happen."
63,i know. every day the weather seems different.,i would love it if it wasn't always so unpredictable.
64,that would make it easier for us to make plans.,this is she. how's it going?
65,i've been trying to call you all day.,sorry about that. i was cleaning up.
66,it's okay.,so what were you calling me about?
67,"oh, i just wanted to see if you wanted to hang out tomorrow.","sure, what did you want to do?"
68,maybe we can go see a movie or something.,that sounds like fun. let's do it.
69,i'll see you tomorrow then.,see you then. goodbye.
70,speaking. what's up?,why haven't you answered the phone?
71,"my bad, i had chores to do.",that's all right.
72,what was the reason for your call?,i want to do something tomorrow with you.
73,sounds good. what did you have in mind?,i was thinking about seeing a movie.
74,"okay, let's go see a movie.",until then.
75,talk to you later.,you're talking to her.
76,i've called you a hundred times today.,i was busy doing something. i apologize.
77,no problem.,did you need something?
78,do you want to do something tomorrow?,is there somewhere special you wanted to go?
79,how about a movie?,a movie sounds good.
80,call me tomorrow then.,"no, i haven't."
81,she's really pretty.,describe her to me.
82,she's not too tall.,"well, how tall is she?"
83,she's about five feet even.,"what does she look like, though?"
84,she has pretty light brown eyes.,i may know which girl you're talking about.
85,so you have seen her around?,"yes, i have."
86,i haven't seen her yet.,i think that she is very pretty.
87,tell me how she looks.,she's kind of short.
88,what height is she?,she's probably about five feet.
89,"that's nice, but tell me what she looks like.",the first thing i noticed was her beautiful brown eyes.
90,i think i might've bumped into her before.,are you telling me that you've seen her before?
91,i believe so.,no. have you?
92,she's one of the prettiest girls at the school.,what does she look like?
93,"well, she's quite short.",how tall would you say that she is?
94,i would say she's only five feet.,what about her facial features?
95,"she has light brown eyes, absolutely beautiful.",i think i know who you're talking about.
96,have you seen her?,i wasn't really feeling well.
97,what was wrong with you?,my stomach was upset.
98,do you feel better now?,i don't really feel too well yet.
99,do you want anything to make you feel better?,"no, thanks. i already took some medicine."
100,i hope you feel better.,thank you.
101,i was sick.,how were you sick?
102,i had a stomachache.,did it get any better?
103,i'm still feeling under the weather.,would you like anything for your stomach?
104,i took something earlier.,get better.
105,thanks a lot.,i stayed home because i wasn't feeling well.
106,what was your problem?,my stomach was bothering me.
107,are you feeling any better?,i'm still feeling a little sick.
108,"i'm going to the store, would you like any pepto bismol?",that's okay.
109,i hope you feel better.,"no, i haven't."
110,i got a promotion at my job.,did you really?
111,"seriously, i am so excited.","well, congratulations."
112,thank you.,i'm so happy for you.
113,really?,yes. you really deserved this.
114,you think so?,yes. good for you.
115,you haven't told me anything yet.,i got a promotion at work earlier this week.
116,is that right?,it's the truth. i am really happy.
117,congratulations on your promotion.,thank you very much.
118,i am really excited for you.,are you really?
119,i'm serious. you deserved this promotion.,is that what you really think?
120,"yes, i do.",i haven't heard anything.
121,"my boss offered me a promotion, and i took it.",are you serious?
122,"yes, i am really excited.",that's great. congratulations.
123,i appreciate that.,you have no idea how happy i am for you.
124,for real?,thank you. i just got this outfit the other day.
125,"really, where did you get it?",i got it from macy's.
126,it's really nice.,"thanks again. you look nice today, too."
127,thank you. i just got these shoes today.,really? what kind of shoes are they?
128,these are called all star chuck taylors.,i really like those. how much did they cost?
129,they were about forty dollars.,i think i'm going to go buy myself a pair.
130,you do? i just bought this outfit a couple days ago.,"seriously, it looks really nice on you. where did you buy it from?"
131,i bought it from the macy's at the santa anita mall.,i really like that outfit.
132,"thanks. i think you look nice today, too.",thank you. i just bought these new shoes earlier today.
133,those are nice. what are they?,these are some chucks.
134,those are great. how much were they?,i got them for forty.
135,i think i might go and find me my own pair of chucks.,is that right? this is a brand new outfit.
136,what store did you get it from?,i went to macy's and picked it out.
137,i love your outfit right now.,"well, i think you look nice today too."
138,thanks. i found these new shoes earlier at the store.,i think that those are some really nice shoes. what kind are they?
139,these are chucks.,your shoes look really nice. how much did you get them for?
140,they only cost me about forty dollars.,i enjoy drawing and painting.
141,you know how to draw and paint?,"yes, i do."
142,when did you learn how to do that?,i learned back in high school.
143,"oh, so you took an art class?","yeah, i loved that class."
144,i see that you're pretty talented.,thank you very much.
145,i wish i had a talent like that.,i'm sure you have a talent. it's just hidden.
146,i've always liked to draw and paint.,i didn't know you knew how to draw and paint.
147,i do it every once in a while.,how long have you known how to do that?
148,i first learned how to do it in high school.,did you take some sort of art class or something?
149,that was my favorite class.,you have got to be talented.
150,thanks.,if only i was talented.
151,you have a talent. you just don't know what it is yet.,"when i have time, i sometimes draw and paint."
152,"oh, you actually do that?","every so often, i do."
153,did you always know how to draw and paint?,i was taught in high school how to draw and paint.
154,you had an art class?,"exactly, it was my favorite class."
155,"well, it's good that you're so talented.",i appreciate that.
156,"talent is a great thing, i wish i had one.",my favorite movie is superbad.
157,"oh, why is that?",it's the funniest movie that i've ever seen.
158,that's true. it is a very funny movie.,you've seen it before? 
159,"yes, i saw that movie the first day it came out in theaters.",didn't you laugh through the whole movie? i did.
160,me too. that movie brought tears to my eyes.,mine too.
161,i have it on dvd at my house if you want to come over and watch it.,"sure, let's go."
162,"i have to say, my favorite movie is superbad.",is that right? why?
163,"honestly, it is one of the funniest movies i've seen in a long time.",you're right. that movie is hilarious.
164,i didn't think you saw that movie.,i went to see it the day it came out.
165,i was laughing through the whole movie.,"i couldn't help laughing, either. "
166,same here.,i bought the movie. would you like to come to my house and watch it?
167,of course.,i'm going to have to say that superbad is the best movie ever.
168,"you think so, how come?","well, superbad is super funny."
169,"you're not lying, i found that movie absolutely hilarious.",i didn't know that you saw superbad before.
170,i made sure to be in line to see it the first day it came out.,i couldn't keep from laughing throughout the whole movie.
171,i was laughing hysterically the whole time; my stomach muscles hurt afterwards.,that's exactly how i felt.
172,"i got the movie when it came out on dvd, do you want to come over?",i like listening to different kinds of music.
173,"like what, for instance?",i enjoy rock and r&b.
174,why is that?,i like the different instruments that they use.
175,that's a good reason to like something.,"yeah, i think so too."
176,i enjoy listening to all kinds of music.,what kind?
177,i like to listen to rock and r&b.,why do you like that type of music?
178,i like the kinds of instruments that they use.,i think that's an excellent reason to like something.
179,"thanks, i feel the same way.",i listen to various types of music.
180,what genres?,i enjoy listening to both rock and r&b.
181,what interests you in that type of music?,i enjoy the different types of instruments that they use.
182,that is a perfect reason to like a certain kind of music.,"no, i couldn't make it."
183,you missed a really good game.,"oh, really? who won?"
184,our school did. they played really well.,too bad i was busy. i really wanted to go.
185,"yeah, you should have. it was really exciting.",so what was the score?
186,the score was 101-98.,"man, that was a really close game."
187,that's what made it so great.,i'll make sure and make it to the next one.
188,i was unable to make it.,you should have been there. it was intense.
189,is that right. who ended up winning?,our team was victorious.
190,i wish i was free that night. i'm kind of mad that i didn't go.,it was a great game.
191,what was the score at the end of the game?,our team won 101-98.
192,sounds like it was a close game.,that's the reason it was such a great game.
193,"the next game, i will definitely be there.","i wanted to go, but i couldn't."
194,it was a great game.,it's too bad that i couldn't make it. who won?
195,our team played hard and won.,i really wish i went to the game.
196,it was the best game ever.,so tell me the final score.
197,"the other team lost by three points, 101-98. ",it must've been a close game.
198,it really was. you should've gone.,i'm going to the movies with a friend. how about you?
199,i'm not sure yet.,"well, did you want to go see a movie with me?"
200,what movie are you going to see?,i'm not sure yet. is there something you want to see?
201,there's nothing i can think of.,"so, did you want to go?"
202,"no, thanks, maybe another time.","okay, sounds good."
203,i am going to see a movie with a friend of mine. what about you?,i don't know.
204,would you like to see a movie with me and my friend?,do you know what movie you're going to watch?
205,"i don't know, but was there a certain movie you wanted to see?",none that i can think of.
206,"well, would you like to go?","thank you for inviting me, but i think i'll pass."
207,all right. another time then.,i'm going to the movie theater with my friend. what are you going to do?
208,i'm not quite sure yet.,how about you see a movie with me and my friend?
209,what movie are you and your friend planning on watching?,not sure. is there a movie out that catches your eye?
210,no good movies come to mind.,have you decided whether or not you would like to go?
211,"no, thanks. maybe another time.","yeah, i went to school today. were you there?"
212,"no, i didn't go, i've been sick.",that sucks. did you want the assignments from english class?
213,"that would be nice, thank you.","no problem, you're welcome."
214,i will be glad to do the same for you when you're sick.,"well, thank you. i hope to see you at school tomorrow."
215,i attended school today. did you?,i wasn't able to attend school because i was feeling ill.
216,i'm sorry to hear that. would you like the assignments from english class?,"i would really appreciate that, thanks."
217,it's no trouble at all.,"if you get sick, i'll return the favor."
218,thanks. see you at school tomorrow if you feel better.,i went to school today. did you go to school?
219,"i couldn't go to school today, i was sick.",that's horrible. i'd be happy to give you the assignments from english class.
220,"thank you very much, that's kind of you.",don't mention it.
221,"when you miss a day of school, i'll be happy to give you the english assignments.",what happened?
222,our cousin went into labor and had her baby last week.,she did? why didn't anyone tell me?
223,i would've thought that somebody would have told you.,"no, i had no idea."
224,"well, she did, her baby was 8 pounds 6 ounces.","oh my god, that's great!"
225,are you going to go and visit her and the baby?,i think that i might.
226,good! i just thought i'd let you know.,thanks for telling me.
227,heard what?,debrah already had her baby.
228,i didn't know that.,i thought you knew.
229,i honestly didn't know.,the baby was 8 pounds 6 ounces.
230,that's good to hear.,will you go and visit them?
231,of course i will.,i just wanted to give you the good news.
232,thanks for letting me know.,i haven't heard anything.
233,debrah had her baby last week.,nobody told me.
234,i thought you heard.,i really wasn't told anything.
235,she was a cute 8 pounds 6 ounces.,"wow, how exciting."
236,"i know, you should really go and see her and the baby.",of course i will.
237,i just wanted to let you know what happened.,of course. did you?
238,"i didn't want to, so i didn't.","that's sad, but have you gone to the movies recently?"
239,that's a switch.,"i'm serious, have you?"
240,"no, i haven't. why?",i really want to go to the movies this weekend.
241,so go then.,i really don't want to go by myself.
242,"well anyway, do you plan on going to school tomorrow?","no, i think i'm going to go to the movies."
243,i always do. did you go to school today?,"no, i didn't."
244,"you should have, but have you seen any movies lately?",that was an odd change of subject.
245,"maybe it was, but answer the question.","no, not recently."
246,i want to go to see a movie this weekend.,what's stopping you then?
247,i don't want to go alone.,"so, will you be at school tomorrow?"
248,"no, i want to go to the movies instead.","yeah, i went. did you go?"
249,"no, i didn't feel like it.","that's nice, have you been to the movies lately?"
250,"no, but that was a random change of subject.","it may have been random, but have you?"
251,i haven't lately.,i would love to catch a movie this weekend.
252,"so then, why don't you just go?",i don't want to see a movie by myself.
253,"okay, so are you going to school tomorrow?",it's no problem. i was really missing you anyway.
254,i missed you too.,why haven't you tried to come see me then?
255,i've been really busy.,doing what?
256,working.,"i would've come to see you sooner, but i've been busy too."
257,what have you been doing?,i've been working too.
258,"well regardless, i'm very happy that you came to see me.",i am too.
259,i had to. i was missing you a lot.,i was missing you too.
260,"so, why haven't you visited me?",i've actually been busy lately.
261,what have you been doing?,i've just been working really hard.
262,i've also been busy.,tell me what you've been doing.
263,"basically, i've been working too.","well whatever, i'm glad you came."
264,so am i.,i really missed you a lot.
265,i've been missing you like crazy.,i don't understand why you haven't come to visit me.
266,"lately, i've been quite busy.",tell me what you've been up to.
267,i've really been working a lot lately.,i've been pretty busy myself.
268,so what have you been up to?,i've just been working a lot.
269,"whatever the reason may be, i'm glad you visited me.","yeah, but i'm still waiting for my invitation."
270,oh really? she gave me mine earlier today.,"well, she'll probably just give me my invitation later on today."
271,"yeah, so are you planning on going?",i think so. it sounds like it's going to be a lot of fun.
272,"it really does, i can't wait.",what time does the party start?
273,it starts at 8 o'clock.,"oh, well, how many people has she given invites to so far?"
274,"i'm not sure, but i don't think she's given out that many.","well, hopefully she'll give me my invite later on today."
275,"i've heard about it, but i'm still waiting for my invitation.",really? i got mine from her this morning.
276,i'm guessing that she's going to give me my invite today or tomorrow.,"you're probably right, do you intend on going to the party?"
277,i want to. i heard it's going to be really fun.,"i know, it does sound pretty awesome."
278,"well, when does the party start?",it's supposed to start at about eight.
279,how many invitations has she given out?,"i really don't know, but i don't think she gave out that many yet."
280,"i really want to go, so i hope that she gives me my invite soon.",i was told about it already. i'm just waiting for my invitation.
281,is that right? i already got my invitation from her earlier.,i believe that she will give me the invitation today.
282,are you even going to go?,"yeah, it sounds like it's going to be the best party of the year."
283,"exactly, it seems like it's going to be loads of fun.",when exactly does the party start?
284,the invitation says it starts at 8:00 p.m.,has she given out a lot of invitations yet?
285,"i have no idea, she hasn't given out many though.",nothing really.
286,i'm throwing a party on friday.,i didn't realize that.
287,you didn't?,nobody has told me anything about your party.
288,did you want to go?,when does it start?
289,at 8:00 p.m.,i'll be there.
290,i'd better see you there.,of course.
291,fine. what's going on with you?,i'm having a party this friday.
292,i had no idea.,is that right?
293,i didn't hear anything about it.,can you go?
294,what time?,it starts at 8 o'clock.
295,i'll go.,i hope that i'll see you there.
296,no doubt.,not much.
297,"this friday, i'm throwing a party.",oh really? i didn't know that.
298,are you serious?,i haven't heard anything about it.
299,can you make it?,what time does it start?
300,the party starts at 8.,"yeah, i think i'll go."
301,am i going to see you there?,"nothing really, you?"
302,i'm throwing a party next saturday.,is that right?
303,"yeah, are you going to come?","i'm sorry, i can't."
304,why not?,i don't really want to.
305,"well, why don't you?",i hate going to parties.
306,"well, that's okay.","yeah, sorry."
307,"nothing, how about you?","next saturday, i'm going to have a party."
308,"oh, really?",you are coming?
309,probably not.,why is that?
310,i don't feel like going.,why not?
311,i really can't stand going to parties.,"i understand, i guess."
312,sorry about that.,"not a lot, what about you?"
313,i'm having a party next saturday.,that's nice.
314,are you going to be there?,i don't think so.
315,is there a reason why?,i just really don't want to go.
316,how come?,i don't really like parties.
317,"i wish you would go, but that's okay.","nothing much, what's going on?"
318,i'm having a party this friday.,"oh, really? that's nice."
319,i wanted to see if you wanted to come.,"this friday? sorry, i already have plans."
320,doing what?,i'm going to dinner with my family.
321,"i really wanted you to come, but i understand.","yeah, maybe next time."
322,i'll hold you to that.,sounds like a plan.
323,not a lot. what about you?,i'm throwing a party on friday.
324,that sounds like fun.,do you think you can come?
325,i'm sorry. i'm already doing something this friday.,what are you going to be doing?
326,my family and i are going to dinner.,i was hoping you would come.
327,i'll definitely try to make it the next time.,i'd better see you there.
328,all right. i'll see you next time.,nothing really. how about you?
329,"a lot, like the party i'm having on friday.","well, that's cool."
330,will you be able to make it?,i'm busy this friday. i'm sorry.
331,what do you have to do?,i'm having dinner with my family
332,maybe you can come next time.,i'll make sure and come to your next party.
333,i'll look for you at my next party.,why are you trying to rush me off the phone?
334,i really have to go.,why? i still wanted to talk to you.
335,i have things to do.,like what?
336,don't be nosey.,i'm not. i just want to know.
337,"well, it's really none of your business.",that's harsh.
338,"i'm sorry, but i have to go.",fine.
339,is there a reason why you're trying to get off the phone so fast?,i've got to go.
340,i wasn't done talking to you.,"i have to do some things, and besides, it's not polite to be nosey."
341,i'm not being nosey. i'm just asking.,i really don't think it's any of your business.
342,that's not nice.,"i apologize, but i'm getting off the phone now."
343,okay.,what's the rush?
344,i have to get off the phone now.,i'm not ready to get off the phone with you.
345,there are other things i need to take care of.,what is it that you need to do? 
346,please don't be nosey.,"i'm not being nosey, it's just a question."
347,you don't need to worry about that.,that was mean to say.
348,"i am very sorry, but i must go.",it was nice talking to you too.
349,we should really hang out again.,that would be fun.
350,where do you want to go?,i think we should go out to eat.
351,that sounds good.,"all right, so i'll see you then."
352,i'll call you later.,"okay, i'll talk to you later then."
353,see you later.,bye.
354,i enjoyed talking to you too.,we should hang out some time.
355,i think that would be nice.,is there anything you would like to do next time?
356,do you want to go out to eat?,i'd like that.
357,so i'll see you next time.,i'm going to call you soon. 
358,i'll talk to you later.,see you soon.
359,goodbye.,it was really nice talking to you also.
360,i think we should really do something sometime.,that should be loads of fun.
361,what do you want to do next time?,would you like to go to dinner or something?
362,"yeah, let's do that.","okay, until next time then."
363,i'll call you so we can set that up.,talk to you then.
364,"all right, see you.",i live in pasadena.
365,where is pasadena?,it's in california.
366,is it in northern california?,no. it's in southern california.
367,is pasadena a big city?,it's pretty big.
368,"how big is ""pretty big""?","it has about 140,000 people."
369,how big is los angeles?,it has about 3 million people.
370,"yes, i do.",what kind of car do you have?
371,i have a honda.,is it new?
372,it was new in 2003.,"so, it's pretty old now."
373,"yes, it is. but it still looks good.",do you take good care of it?
374,"oh, yes. i wash it once a week.",do you change the oil?
375,my mechanic changes the oil twice a year.,"no, i don't. do you?"
376,"i don't have a girlfriend, either.",why not?
377,i don't know. maybe i'm not rich enough.,girls like guys with money.
378,they sure do.,they like guys with new cars.
379,i don't have money or a new car.,"me, neither."
380,but girls like guys who are funny.,maybe we should learn some good jokes.
381,i have to walk the dog.,what kind of dog do you have?
382,i have a little poodle.,poodles bark a lot.
383,they sure do.,they bark at everything.
384,they never shut up.,why did you get a poodle?
385,it's my mom's dog.,so she likes poodles.
386,she says they're good watchdogs.,sure. why do you need it?
387,i want to buy lunch.,where's your money?
388,it's not in my wallet.,your wallet is empty?
389,i don't have even one dollar in it.,being broke is no fun.
390,even if it's only for a short while.,it's always good to have friends.
391,friends will lend you money when you're broke.,as long as you pay them back.
392,that's a great idea.,we haven't been in a while.
393,we haven't been in a month.,"the last time we went, you almost drowned."
394,"no, i didn't.",then why did the lifeguard dive into the water?
395,i think he wanted to cool off.,he swam right up to you.
396,and then he turned right around.,maybe you're right.
397,maybe we should get going.,no. i'm divorced.
398,when did you get divorced?,i got divorced two years ago.
399,why did you get divorced?,my wife left me.
400,why did she leave you?,she said she didn't love me anymore.
401,wow! that's terrible.,"yes, it was."
402,why didn't she love you anymore?,she fell in love with my best friend.
403,what's on tv?,nothing.
404,there must be something on tv!,nothing that's interesting.
405,what about that new game show?,which one?
406,"""deal or no deal""",tell me you're joking.
407,i love that show.,i watched it once. that was enough.
408,it's on right now. let's watch it together.,i agree. pasadena is a nice city.
409,it's not too big.,and it's not too small.
410,it has great weather all year long.,it has the rose parade.
411,it has beautiful houses.,it has wonderful restaurants.
412,it has great schools.,it's close to the mountains.
413,the people are friendly.,i'm not ever going to leave.
414,what's the matter with this one?,it's not comfortable.
415,it seems fine to me.,i toss and turn all night.
416,you should stop drinking coffee.,look at these marks on my arms.
417,what are they?,they are bites.
418,did the cat bite you?,no. the bedbugs in that mattress bit me.
419,okay. let's get a new mattress.,buy a new one.
420,i would if i had the money.,why is it so slow?
421,that's a good question.,did you take it to a computer shop?
422,i would if i had the money.,"well, i guess you have to live with it."
423,sometimes i want to throw it out the window.,you don't want to do that.
424,why not?,you might hit someone in the head.
425,i'm not sure.,how about a pizza?
426,you had pizza for lunch.,but i love pizza.
427,everybody loves pizza.,so why can't i have pizza for dinner?
428,because you need variety.,"what's ""variety?"
429,different thingsÃ‚â€”not the same thing all the time.,"you mean, like a pepperoni pizza instead of a cheese pizza?"
430,"no, i mean a salad instead of a pizza.",why do we need to save money?
431,because we need to buy a house.,but a house is so expensive.
432,that's why we need to save money.,how much do we need to save?
433,we need to save enough for a down payment.,how much is that?
434,"that's about $30,000.",thirty thousand dollars! that will take forever.
435,not if we save every penny.,okay. here's seven pennies.
436,you can't see the end of it.,it goes on and on forever.
437,"and it's deep, too.",i think it's five miles deep.
438,are there fish at the bottom?,there are fish at the top and the bottom.
439,are there more fish or more people?,i think there are more fish.
440,i hope so. i love to eat fish.,why is that?
441,i warned her about her new boyfriend. she didn't listen to me.,what happened?
442,"i gave her $1,000 for her birthday. i told her to spend it on herself.",that was very nice of you.
443,i found out that she gave it to her new boyfriend.,why did she do that?
444,he said he would buy her a nice ring.,what's wrong with that?
445,he went to las vegas. he lost it all gambling.,i hope your mom broke up with him.
446,of course they talk to each other.,what do they talk about?
447,they talk about other animals.,what else do they talk about?
448,they talk about food and the weather.,do they talk about us?
449,of course they talk about us.,what do they say about us?
450,they say that we are funny-looking.,ha! we're not funny-looking; animals are funny-looking.
451,we're funny-looking because we wear clothes.,"yes, it's very dirty."
452,you can help me.,why me?
453,because you helped make it dirty.,what do you want me to do?
454,i want you to clean the bathroom.,"oh, that's easy."
455,"clean the sink, the tub, the counter, and the toilet.",that's a lot of work.
456,tell me when you finish.,i don't think so. you'll just give me more work.
457,what do you mean?,i mean you're wasting your life.
458,i'm having fun.,you're sitting there with your mouth open.
459,who cares?,i care. do something.
460,okay. i did something.,what did you do?
461,i turned up the volume.,"that's not what i meant by ""do something."""
462,will you do something? leave me alone.,"yes, i did."
463,did you tell her about school?,i told her that school is fun.
464,did you put the letter in an envelope?,"yes, and i sealed the envelope."
465,did you put a stamp on the envelope?,i couldn't find any stamps.
466,they're in the kitchen drawer.,okay. i just put a stamp on the envelope.
467,"give me the envelope, and i'll mail it for you.",when is grandma going to learn about e-mail?
468,i'm sleepy.,why don't you go to bed?
469,i want to watch this tv show.,maybe you should record it.
470,the tape recorder is broken.,then you should watch the rerun.
471,why? i'm watching the original.,but you'll be asleep in about one minute.
472,i'm just yawning because the commercials are on.,okay. i'll tell you how the show ends.
473,zzz.,so?
474,you know what that means.,i forgot.
475,sunday means we go to church.,"oh, yeah."
476,put on a coat and tie.,why?
477,to show respect to god and others.,i'm glad sunday is only once a week.
478,i hope god didn't hear that.,he'll forgive me.
479,i'll do that in a minute.,the cat is meowing. he's hungry.
480,okay. i'll feed him right now.,you shouldn't make him wait.
481,i was doing my homework.,the cat doesn't care about your homework.
482,the cat doesn't care about anything.,that's the way cats are.
483,all they think about is themselves.,maybe we should get rid of him.
484,of course not! he's family.,me too.
485,i just cut myself again.,did you use a new blade?
486,"it doesn't matter. old blades cut, new blades cut.",maybe you should use an electric shaver.
487,"they make a lot of noise, but they don't give a close shave.",maybe you should stop shaving.
488,and grow a beard?,sure. why not?
489,because food and other stuff sticks in my beard.,hmm. here's an idea. put cream on your face and have the cat lick it off.
490,yes?,are you reading this paper?
491,"oh, no. help yourself.",i asked because the paper is sitting next to you.
492,thank you. that's polite of you to ask.,some people would just pick it up.
493,"yes, i know. some people are rude.",i always try to be polite.
494,so do i.,the world needs more polite people like us.
495,i agree 100 percent.,let me think about it.
496,why do you have to think about it?,because a puppy costs money.
497,"no, it doesn't. puppies are free.","yes, but a puppy needs shots."
498,shots for what?,so it won't get sick. just like you get shots.
499,i hate shots.,and a puppy eats food. food costs money.
500,no problem. i'll give him food off my plate.,"oh, no you don't. puppies don't eat vegetables."
501,how many are there?,eight.
502,they're all so cute.,"yes, but i can't keep them."
503,what are you going to do with them?,i'm going to give them away. do you want one?
504,"yes, i would love one.",which one do you want?
505,that one. the one that's all black.,"yes, i like that one, too."
506,i'll call him blacky.,they trust in god.
507,they hope they will go to heaven.,they probably will.
508,but no one knows for sure.,that's for sure.
509,no one knows what happens after we die.,"if we are good, we will be happy in heaven with god."
510,that's what many people believe.,"if we are bad, we will be unhappy forever in hell."
511,i don't want to go to hell.,let's go to church with your parents on sunday.
512,i'm sorry for you.,thank you.
513,when did he die?,a couple of months ago.
514,you still miss him.,"yes, but i talk to him almost every day."
515,when you go to church?,"no, when i call him on his cell phone."
516,what do you mean?,i buried him with his cell phone.
517,what will you do when the battery dies?,that's a bad day.
518,it's supposed to be unlucky.,you're supposed to stay home all day.
519,that's what i do.,my friend stayed in a hotel on friday the thirteenth.
520,that was a mistake.,he stayed on the thirteenth floor.
521,what happened?,someone stole his laptop.
522,he was asking for it.,he learned his lesson. he's home today.
523,of course.,prove it.
524,how can i prove it?,take me to dinner.
525,that's it? that's all i have to do?,"take me to a nice restaurant, not to mcdonald's."
526,but a nice restaurant costs money.,"yes, and you have to make a reservation."
527,that's such a hassle.,i knew you didn't love me.
528,"okay, okay! i'll make a reservation right now.",so are mine.
529,why did your parents get divorced?,my father found a new girlfriend.
530,that's too bad.,my mother was hurt and angry.
531,she had good reason. what did she do?,she told him to drop his girlfriend.
532,what did your father do?,he moved out of our house.
533,i guess he really liked his new girlfriend.,"yes, but she left him a year later."
534,so does mine.,i think it's an old people's smell.
535,really?,"yes. i think when you get old, you begin to smell."
536,like fruit that is too ripe?,"yes, just like fruit that is too ripe."
537,but the smell is different.,"yes, old people don't smell like fruit."
538,"no, they smell like a thrift shop.","yes, a thrift shop has that same smell."
539,"yes, an old smell.",i think stamps used to cost a penny.
540,that was a long time ago.,it was before i was born.
541,now a stamp is 42 cents.,but in may it will be 44 cents.
542,have you ever lost a letter in the mail?,"no, i haven't."
543,neither have i.,"so, they do a good job for the money."
544,"yes, they do.",maybe we shouldn't complain.
545,what are you going to do?,"first, i have to find the button."
546,where did you lose it?,i have no idea.
547,a button is hard to find. did you look in your pant cuffs?,that's a good idea.
548,i found a button in my pant cuffs one time.,"let me look. no, it's not there."
549,many shirts come with an extra button.,you're right. this one does have an extra button.
550,now all you have to do is sew it on.,you drink too much coffee.
